date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:09	6993/6993	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2012:49:08%20GMT	https://justins-dandy-site-6c7074.webflow.io/	G:/HTTRack/Webflow%20Test/Webflow%20Test/justins-dandy-site-6c7074.webflow.io/index.html	(from )
20:49:09	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2008%20Dec%202021%2012:49:08%20GMT	https://justins-dandy-site-6c7074.webflow.io/robots.txt		(from )
20:49:10	38543/38543	---M-Z	200	added ('OK')	text/css	etag:%220de0ed168013e5c96edee14bbf4f17cc%22	https://uploads-ssl.webflow.com/61b0545303933b64a77a5a1d/css/justins-dandy-site-6c7074.webflow.86397a271.css	G:/HTTRack/Webflow%20Test/Webflow%20Test/uploads-ssl.webflow.com/61b0545303933b64a77a5a1d/css/justins-dandy-site-6c7074.webflow.86397a271.css	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:10	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	G:/HTTRack/Webflow%20Test/Webflow%20Test/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:10	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	G:/HTTRack/Webflow%20Test/Webflow%20Test/uploads-ssl.webflow.com/img/webclip.png	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2008%20Dec%202021%2012:49:11%20GMT	https://justins-dandy-site-6c7074.webflow.io/blog	G:/HTTRack/Webflow%20Test/Webflow%20Test/justins-dandy-site-6c7074.webflow.io/blog	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:11	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Wed,%2008%20Dec%202021%2012:49:11%20GMT	https://justins-dandy-site-6c7074.webflow.io/about	G:/HTTRack/Webflow%20Test/Webflow%20Test/justins-dandy-site-6c7074.webflow.io/about	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:11	8736/8736	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2012:49:11%20GMT	https://justins-dandy-site-6c7074.webflow.io/photos/city	G:/HTTRack/Webflow%20Test/Webflow%20Test/justins-dandy-site-6c7074.webflow.io/photos/city.html	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:12	8772/8772	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2012:49:11%20GMT	https://justins-dandy-site-6c7074.webflow.io/photos/together	G:/HTTRack/Webflow%20Test/Webflow%20Test/justins-dandy-site-6c7074.webflow.io/photos/together.html	(from https://justins-dandy-site-6c7074.webflow.io/)
20:49:12	50522/50522	---M--	200	added ('OK')	image/jpeg	etag:%223c01b3d3035efd198d4750a5fbad63b0%22	https://uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933b9e1d7a5a49_photo-1416934625760-d56f5e79f6fe-square700.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933b9e1d7a5a49_photo-1416934625760-d56f5e79f6fe-square700.jpg	(from https://justins-dandy-site-6c7074.webflow.io/)
